candidate,stride,length_um,height_um,y_factor,island_count,fabrication_valid,f3db_thz,pass_avg_s21_db,pass_min_s21_db,pass_ripple_db,pass_avg_s11_db,edge_avg_s21_db,stop_avg_s21_db,stop_max_s21_db,stop_coverage_below_10_db,stop_coverage_below_20_db,recovery_peak_db,passband_notch_penalty_db,monotonic_violation_db,score
HYB_0001,2,1.0,0.5,0.62,5,True,0.8184725345251224,-0.2533757470593587,-0.6199548340989004,0.5134370558474415,-18.6707491425171,-20.053974462097255,-7.52516469627164,-0.33304406600230174,0.2727272727272727,0.2,-0.33304406600230174,0.0,57.384526059056256,-28.11379104459818
HYB_0002,2,1.0,0.5,0.72,5,True,0.8184725345251224,-0.2533757470593587,-0.6199548340989004,0.5134370558474415,-18.6707491425171,-20.053974462097255,-7.52516469627164,-0.33304406600230174,0.2727272727272727,0.2,-0.33304406600230174,0.0,57.384526059056256,-28.11379104459818
HYB_0003,2,1.0,0.5,0.82,5,True,0.8184725345251224,-0.2533757470593587,-0.6199548340989004,0.5134370558474415,-18.6707491425171,-20.053974462097255,-7.52516469627164,-0.33304406600230174,0.2727272727272727,0.2,-0.33304406600230174,0.0,57.384526059056256,-28.11379104459818
HYB_0004,2,1.0,1.0,0.62,5,True,0.8184610701406816,-0.2535641160215672,-0.6181188784089511,0.5115908565857552,-18.65684644760664,-20.032893128907716,-7.515658706193721,-0.3336079939036145,0.2727272727272727,0.2,-0.3336079939036145,0.0,57.44415150136922,-28.13554091408326
HYB_0005,2,1.0,1.0,0.72,5,True,0.8184610701406816,-0.2535641160215672,-0.6181188784089511,0.5115908565857552,-18.65684644760664,-20.032893128907716,-7.515658706193721,-0.3336079939036145,0.2727272727272727,0.2,-0.3336079939036145,0.0,57.44415150136922,-28.13554091408326
HYB_0006,2,1.0,1.0,0.82,5,True,0.8184610701406816,-0.2535641160215672,-0.6181188784089511,0.5115908565857552,-18.65684644760664,-20.032893128907716,-7.515658706193721,-0.3336079939036145,0.2727272727272727,0.2,-0.3336079939036145,0.0,57.44415150136922,-28.13554091408326
HYB_0007,2,2.0,0.5,0.62,5,True,0.8184649434905663,-0.25350128302229985,-0.618734294492866,0.5122096808695621,-18.66147844274487,-20.039970705235888,-7.518833182503682,-0.33341542051112416,0.2727272727272727,0.2,-0.33341542051112416,0.0,57.424404431637015,-28.12834996702814
HYB_0008,2,2.0,0.5,0.72,5,True,0.8184649434905663,-0.25350128302229985,-0.618734294492866,0.5122096808695621,-18.66147844274487,-20.039970705235888,-7.518833182503682,-0.33341542051112416,0.2727272727272727,0.2,-0.33341542051112416,0.0,57.424404431637015,-28.12834996702814
HYB_0009,2,2.0,0.5,0.82,5,True,0.8184649434905663,-0.25350128302229985,-0.618734294492866,0.5122096808695621,-18.66147844274487,-20.039970705235888,-7.518833182503682,-0.33341542051112416,0.2727272727272727,0.2,-0.33341542051112416,0.0,57.424404431637015,-28.12834996702814
HYB_0010,2,2.0,1.0,0.62,5,True,0.8184454854144868,-0.2538152479292293,-0.6156714185675124,0.5091298735555964,-18.63840505635685,-20.004919015547042,-7.503377049345143,-0.3343564069644711,0.2727272727272727,0.2,-0.3343564069644711,0.0,57.520271758639225,-28.163186980925662
HYB_0011,2,2.0,1.0,0.72,5,True,0.8184454854144868,-0.2538152479292293,-0.6156714185675124,0.5091298735555964,-18.63840505635685,-20.004919015547042,-7.503377049345143,-0.3343564069644711,0.2727272727272727,0.2,-0.3343564069644711,0.0,57.520271758639225,-28.163186980925662
HYB_0012,2,2.0,1.0,0.82,5,True,0.8184454854144868,-0.2538152479292293,-0.6156714185675124,0.5091298735555964,-18.63840505635685,-20.004919015547042,-7.503377049345143,-0.3343564069644711,0.2727272727272727,0.2,-0.3343564069644711,0.0,57.520271758639225,-28.163186980925662
HYB_0013,2,3.0,0.5,0.62,5,True,0.8184572925580598,-0.25362677454558896,-0.6175166595394611,0.5109852515226992,-18.652238645033925,-20.026053285892687,-7.51264011311094,-0.333781934926446,0.2727272727272727,0.2,-0.333781934926446,0.0,57.463229471268356,-28.142493250042456
HYB_0014,2,3.0,0.5,0.72,5,True,0.8184572925580598,-0.25362677454558896,-0.6175166595394611,0.5109852515226992,-18.652238645033925,-20.026053285892687,-7.51264011311094,-0.333781934926446,0.2727272727272727,0.2,-0.333781934926446,0.0,57.463229471268356,-28.142493250042456
HYB_0015,2,3.0,0.5,0.82,5,True,0.8184572925580598,-0.25362677454558896,-0.6175166595394611,0.5109852515226992,-18.652238645033925,-20.026053285892687,-7.51264011311094,-0.333781934926446,0.2727272727272727,0.2,-0.333781934926446,0.0,57.463229471268356,-28.142493250042456
HYB_0016,2,3.0,1.0,0.62,5,True,0.8184295780400044,-0.2540663149948373,-0.6132269973526978,0.5066720874847679,-18.62007627438636,-19.977138024575257,-7.491554814613613,-0.3350975616338737,0.2727272727272727,0.2,-0.3350975616338737,0.0,57.59249180965747,-28.18927612130771
HYB_0017,2,3.0,1.0,0.72,5,True,0.8184295780400044,-0.2540663149948373,-0.6132269973526978,0.5066720874847679,-18.62007627438636,-19.977138024575257,-7.491554814613613,-0.3350975616338737,0.2727272727272727,0.2,-0.3350975616338737,0.0,57.59249180965747,-28.18927612130771
HYB_0018,2,3.0,1.0,0.82,5,True,0.8184295780400044,-0.2540663149948373,-0.6132269973526978,0.5066720874847679,-18.62007627438636,-19.977138024575257,-7.491554814613613,-0.3350975616338737,0.2727272727272727,0.2,-0.3350975616338737,0.0,57.59249180965747,-28.18927612130771
HYB_0019,3,1.0,0.5,0.62,4,True,0.8184880658373042,-0.25333425478111754,-0.6207268525043723,0.5142364867079521,-18.673465839816732,-20.056573457815546,-7.529714509455944,-0.3363679003282994,0.2727272727272727,0.2,-0.3363679003282994,0.0,57.39111342602317,-28.11620695468891
HYB_0020,3,1.0,0.5,0.72,4,True,0.8184880658373042,-0.25333425478111754,-0.6207268525043723,0.5142364867079521,-18.673465839816732,-20.056573457815546,-7.529714509455944,-0.3363679003282994,0.2727272727272727,0.2,-0.3363679003282994,0.0,57.39111342602317,-28.11620695468891
HYB_0021,3,1.0,0.5,0.82,4,True,0.8184880658373042,-0.25333425478111754,-0.6207268525043723,0.5142364867079521,-18.673465839816732,-20.056573457815546,-7.529714509455944,-0.3363679003282994,0.2727272727272727,0.2,-0.3363679003282994,0.0,57.39111342602317,-28.11620695468891
HYB_0022,3,1.0,1.0,0.62,4,True,0.8184923298482226,-0.2534880157880591,-0.6197108657514713,0.513237435619209,-18.6622144838416,-20.038079022451885,-7.524758053041224,-0.34023961463904573,0.2727272727272727,0.2,-0.34023961463904573,0.0,57.455463352482425,-28.139650943865824
HYB_0023,3,1.0,1.0,0.72,4,True,0.8184923298482226,-0.2534880157880591,-0.6197108657514713,0.513237435619209,-18.6622144838416,-20.038079022451885,-7.524758053041224,-0.34023961463904573,0.2727272727272727,0.2,-0.34023961463904573,0.0,57.455463352482425,-28.139650943865824
HYB_0024,3,1.0,1.0,0.82,4,True,0.8184923298482226,-0.2534880157880591,-0.6197108657514713,0.513237435619209,-18.6622144838416,-20.038079022451885,-7.524758053041224,-0.34023961463904573,0.2727272727272727,0.2,-0.34023961463904573,0.0,57.455463352482425,-28.139650943865824
HYB_0025,3,2.0,0.5,0.62,4,True,0.8184908740101811,-0.25343597696910863,-0.62004666208551,0.5135676030366305,-18.665968598411613,-20.0442776828228,-7.526404494451969,-0.3388279598856345,0.2727272727272727,0.2,-0.3388279598856345,0.0,57.43440559009781,-28.132031890322445
HYB_0026,3,2.0,0.5,0.72,4,True,0.8184908740101811,-0.25343597696910863,-0.62004666208551,0.5135676030366305,-18.665968598411613,-20.0442776828228,-7.526404494451969,-0.3388279598856345,0.2727272727272727,0.2,-0.3388279598856345,0.0,57.43440559009781,-28.132031890322445
HYB_0027,3,2.0,0.5,0.82,4,True,0.8184908740101811,-0.25343597696910863,-0.62004666208551,0.5135676030366305,-18.665968598411613,-20.0442776828228,-7.526404494451969,-0.3388279598856345,0.2727272727272727,0.2,-0.3388279598856345,0.0,57.43440559009781,-28.132031890322445
HYB_0028,3,2.0,1.0,0.62,4,True,0.8184978958118009,-0.25370377547470613,-0.6184287457339706,0.5119776560937151,-18.647201446634092,-20.01349818678256,-7.518516020570587,-0.3465213697380826,0.2727272727272727,0.2,-0.3465213697380826,0.0,57.533119036725445,-28.167310696968784
HYB_0029,3,2.0,1.0,0.72,4,True,0.8184978958118009,-0.25370377547470613,-0.6184287457339706,0.5119776560937151,-18.647201446634092,-20.01349818678256,-7.518516020570587,-0.3465213697380826,0.2727272727272727,0.2,-0.3465213697380826,0.0,57.533119036725445,-28.167310696968784
HYB_0030,3,2.0,1.0,0.82,4,True,0.8184978958118009,-0.25370377547470613,-0.6184287457339706,0.5119776560937151,-18.647201446634092,-20.01349818678256,-7.518516020570587,-0.3465213697380826,0.2727272727272727,0.2,-0.3465213697380826,0.0,57.533119036725445,-28.167310696968784
HYB_0031,3,3.0,0.5,0.62,4,True,0.8184936132429153,-0.25354073676052363,-0.6193889552756839,0.5129211341280216,-18.658470955892874,-20.032035878757597,-7.523214359994352,-0.3415707806128343,0.2727272727272727,0.2,-0.3415707806128343,0.0,57.475225392893364,-28.14678316964291
HYB_0032,3,3.0,0.5,0.72,4,True,0.8184936132429153,-0.25354073676052363,-0.6193889552756839,0.5129211341280216,-18.658470955892874,-20.032035878757597,-7.523214359994352,-0.3415707806128343,0.2727272727272727,0.2,-0.3415707806128343,0.0,57.475225392893364,-28.14678316964291
HYB_0033,3,3.0,0.5,0.82,4,True,0.8184936132429153,-0.25354073676052363,-0.6193889552756839,0.5129211341280216,-18.658470955892874,-20.032035878757597,-7.523214359994352,-0.3415707806128343,0.2727272727272727,0.2,-0.3415707806128343,0.0,57.475225392893364,-28.14678316964291
HYB_0034,3,3.0,1.0,0.62,4,True,0.818503298980583,-0.2539317507115349,-0.6172299554908081,0.5108009263983591,-18.63217682620538,-19.98903304025959,-7.512689149116121,-0.35325760970178094,0.2727272727272727,0.2,-0.35325760970178094,0.0,57.60813281495605,-28.193788505201248
HYB_0035,3,3.0,1.0,0.72,4,True,0.818503298980583,-0.2539317507115349,-0.6172299554908081,0.5108009263983591,-18.63217682620538,-19.98903304025959,-7.512689149116121,-0.35325760970178094,0.2727272727272727,0.2,-0.35325760970178094,0.0,57.60813281495605,-28.193788505201248
HYB_0036,3,3.0,1.0,0.82,4,True,0.818503298980583,-0.2539317507115349,-0.6172299554908081,0.5108009263983591,-18.63217682620538,-19.98903304025959,-7.512689149116121,-0.35325760970178094,0.2727272727272727,0.2,-0.35325760970178094,0.0,57.60813281495605,-28.193788505201248
HYB_0037,4,1.0,0.5,0.62,3,True,0.8184780891844785,-0.2541188140607103,-0.622251811986603,0.5157570355938238,-18.653519238609302,-20.062284636009114,-7.527136474505162,-0.331644969725405,0.2727272727272727,0.2,-0.331644969725405,0.0,57.31059993001904,-28.0866976778779
HYB_0038,4,1.0,0.5,0.72,3,True,0.8184780891844785,-0.2541188140607103,-0.622251811986603,0.5157570355938238,-18.653519238609302,-20.062284636009114,-7.527136474505162,-0.331644969725405,0.2727272727272727,0.2,-0.331644969725405,0.0,57.31059993001904,-28.0866976778779
HYB_0039,4,1.0,0.5,0.82,3,True,0.8184780891844785,-0.2541188140607103,-0.622251811986603,0.5157570355938238,-18.653519238609302,-20.062284636009114,-7.527136474505162,-0.331644969725405,0.2727272727272727,0.2,-0.331644969725405,0.0,57.31059993001904,-28.0866976778779
HYB_0040,4,1.0,1.0,0.62,3,True,0.8184723697866413,-0.2550562712121975,-0.6227105110254698,0.5162283203091704,-18.622543852463682,-20.049499728003227,-7.519503913949253,-0.33087231094596825,0.2727272727272727,0.2,-0.33087231094596825,0.0,57.29798051797355,-28.082023184053213
HYB_0041,4,1.0,1.0,0.72,3,True,0.8184723697866413,-0.2550562712121975,-0.6227105110254698,0.5162283203091704,-18.622543852463682,-20.049499728003227,-7.519503913949253,-0.33087231094596825,0.2727272727272727,0.2,-0.33087231094596825,0.0,57.29798051797355,-28.082023184053213
HYB_0042,4,1.0,1.0,0.82,3,True,0.8184723697866413,-0.2550562712121975,-0.6227105110254698,0.5162283203091704,-18.622543852463682,-20.049499728003227,-7.519503913949253,-0.33087231094596825,0.2727272727272727,0.2,-0.33087231094596825,0.0,57.29798051797355,-28.082023184053213
HYB_0043,4,2.0,0.5,0.62,3,True,0.8184742974747092,-0.25474223317852696,-0.6225576798213146,0.516071303544961,-18.63286974512678,-20.053802126795713,-7.522058906101006,-0.33112909380615907,0.2727272727272727,0.2,-0.33112909380615907,0.0,57.302293615450395,-28.08362613334464
HYB_0044,4,2.0,0.5,0.72,3,True,0.8184742974747092,-0.25474223317852696,-0.6225576798213146,0.516071303544961,-18.63286974512678,-20.053802126795713,-7.522058906101006,-0.33112909380615907,0.2727272727272727,0.2,-0.33112909380615907,0.0,57.302293615450395,-28.08362613334464
HYB_0045,4,2.0,0.5,0.82,3,True,0.8184742974747092,-0.25474223317852696,-0.6225576798213146,0.516071303544961,-18.63286974512678,-20.053802126795713,-7.522058906101006,-0.33112909380615907,0.2727272727272727,0.2,-0.33112909380615907,0.0,57.302293615450395,-28.08362613334464
HYB_0046,4,2.0,1.0,0.62,3,True,0.8184647243044207,-0.25631380545777427,-0.6233113976416353,0.5168458440316045,-18.58162026798537,-20.032542251963594,-7.509558363903037,-0.3299637486085249,0.2727272727272727,0.2,-0.3299637486085249,0.0,57.28142795060943,-28.075878553640816
HYB_0047,4,2.0,1.0,0.72,3,True,0.8184647243044207,-0.25631380545777427,-0.6233113976416353,0.5168458440316045,-18.58162026798537,-20.032542251963594,-7.509558363903037,-0.3299637486085249,0.2727272727272727,0.2,-0.3299637486085249,0.0,57.28142795060943,-28.075878553640816
HYB_0048,4,2.0,1.0,0.82,3,True,0.8184647243044207,-0.25631380545777427,-0.6233113976416353,0.5168458440316045,-18.58162026798537,-20.032542251963594,-7.509558363903037,-0.3299637486085249,0.2727272727272727,0.2,-0.3299637486085249,0.0,57.28142795060943,-28.075878553640816
HYB_0049,4,3.0,0.5,0.62,3,True,0.8184705162460038,-0.25536700170733345,-0.6228599312797889,0.5163819138012611,-18.612350610616176,-20.045382905790227,-7.517068389166034,-0.33065275948923006,0.2727272727272727,0.2,-0.33065275948923006,0.0,57.293944618314825,-28.08053242129285
HYB_0050,4,3.0,0.5,0.72,3,True,0.8184705162460038,-0.25536700170733345,-0.6228599312797889,0.5163819138012611,-18.612350610616176,-20.045382905790227,-7.517068389166034,-0.33065275948923006,0.2727272727272727,0.2,-0.33065275948923006,0.0,57.293944618314825,-28.08053242129285
HYB_0051,4,3.0,0.5,0.82,3,True,0.8184705162460038,-0.25536700170733345,-0.6228599312797889,0.5163819138012611,-18.612350610616176,-20.045382905790227,-7.517068389166034,-0.33065275948923006,0.2727272727272727,0.2,-0.33065275948923006,0.0,57.293944618314825,-28.08053242129285
HYB_0052,4,3.0,1.0,0.62,3,True,0.818457069481156,-0.2575792646434009,-0.6238995852722,0.5174505018443298,-18.541139786637483,-20.01571721880008,-7.499889166816994,-0.32920213722471997,0.2727272727272727,0.2,-0.32920213722471997,0.0,57.26504390058392,-28.069776368351878
HYB_0053,4,3.0,1.0,0.72,3,True,0.818457069481156,-0.2575792646434009,-0.6238995852722,0.5174505018443298,-18.541139786637483,-20.01571721880008,-7.499889166816994,-0.32920213722471997,0.2727272727272727,0.2,-0.32920213722471997,0.0,57.26504390058392,-28.069776368351878
HYB_0054,4,3.0,1.0,0.82,3,True,0.818457069481156,-0.2575792646434009,-0.6238995852722,0.5174505018443298,-18.541139786637483,-20.01571721880008,-7.499889166816994,-0.32920213722471997,0.2727272727272727,0.2,-0.32920213722471997,0.0,57.26504390058392,-28.069776368351878
